"filename", "language", "JSON with Comments", "JSON", "TypeScript", "Markdown", "HTML", "CSS", "comment", "blank", "total"
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\consultar-propiedades\consultar-propiedades.component.css", "CSS", 0, 0, 0, 0, 0, 66, 0, 26, 92
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\consultar-propiedades\consultar-propiedades.component.html", "HTML", 0, 0, 0, 0, 56, 0, 0, 4, 60
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\consultar-propiedades\consultar-propiedades.component.spec.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 5, 22
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\consultar-propiedades\consultar-propiedades.component.ts", "TypeScript", 0, 0, 76, 0, 0, 0, 3, 16, 95
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\cuenta\cuenta.component.css", "CSS", 0, 0, 0, 0, 0, 118, 1, 49, 168
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\cuenta\cuenta.component.html", "HTML", 0, 0, 0, 0, 40, 0, 0, 7, 47
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\cuenta\cuenta.component.spec.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 5, 22
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\cuenta\cuenta.component.ts", "TypeScript", 0, 0, 132, 0, 0, 0, 7, 39, 178
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\cuenta\image.service.spec.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 5, 17
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\cuenta\image.service.ts", "TypeScript", 0, 0, 21, 0, 0, 0, 4, 7, 32
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\cuenta\usuario.model.spec.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 3, 9
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\cuenta\usuario.model.ts", "TypeScript", 0, 0, 32, 0, 0, 0, 0, 3, 35
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\data.service.ts", "TypeScript", 0, 0, 70, 0, 0, 0, 2, 22, 94
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\deudas-extraordinarias\deudas-extraordinarias.component.css", "CSS", 0, 0, 0, 0, 0, 54, 0, 23, 77
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\deudas-extraordinarias\deudas-extraordinarias.component.html", "HTML", 0, 0, 0, 0, 68, 0, 1, 17, 86
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\deudas-extraordinarias\deudas-extraordinarias.component.spec.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 5, 22
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\deudas-extraordinarias\deudas-extraordinarias.component.ts", "TypeScript", 0, 0, 97, 0, 0, 0, 1, 37, 135
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\deudas-ordinarias\deudas-ordinarias.component.css", "CSS", 0, 0, 0, 0, 0, 62, 0, 25, 87
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\deudas-ordinarias\deudas-ordinarias.component.html", "HTML", 0, 0, 0, 0, 91, 0, 2, 29, 122
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\deudas-ordinarias\deudas-ordinarias.component.spec.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 5, 22
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\deudas-ordinarias\deudas-ordinarias.component.ts", "TypeScript", 0, 0, 224, 0, 0, 0, 7, 62, 293
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\deudas\deudas.component.css", "CSS", 0, 0, 0, 0, 0, 62, 0, 25, 87
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\deudas\deudas.component.html", "HTML", 0, 0, 0, 0, 91, 0, 2, 29, 122
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\deudas\deudas.component.spec.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 5, 22
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\deudas\deudas.component.ts", "TypeScript", 0, 0, 224, 0, 0, 0, 7, 59, 290
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\deudores\deudores.component.css", "CSS", 0, 0, 0, 0, 0, 66, 0, 26, 92
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\deudores\deudores.component.html", "HTML", 0, 0, 0, 0, 52, 0, 0, 2, 54
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\deudores\deudores.component.spec.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 5, 22
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\deudores\deudores.component.ts", "TypeScript", 0, 0, 37, 0, 0, 0, 0, 11, 48
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\egresos\egresos.component.css", "CSS", 0, 0, 0, 0, 0, 82, 20, 30, 132
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\egresos\egresos.component.html", "HTML", 0, 0, 0, 0, 57, 0, 0, 13, 70
