"filename", "language", "TypeScript", "comment", "blank", "total"
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\deudas-ordinarias\deudas-ordinarias.component.ts", "TypeScript", 19, 0, 6, 25
"Total", "-", 19, 0, 6, 25
